gene,lr,mlp,sae,xgb,multitask,lr_rank,mlp_rank,sae_rank,xgb_rank,multitask_rank,mean_rank
EEF1A1,0.20898206297340965,1.0976720545903946,2.8644532718082614,0.017778054,2.2146140896640687,4.0,1.0,1.0,2.0,1.0,1.8
NKG7,0.36700211954756723,0.20817731467458603,0.7988624906194062,0.08918505,0.3018309066022339,1.0,8.0,8.0,1.0,9.0,5.4
FXYD5,0.08133271208885393,0.34861794863651147,2.0361165557552954,0.0020808233,0.7710639665577743,18.0,2.0,2.0,57.0,2.0,16.2
CST7,0.1780787505895265,0.12941518550279468,0.5774374052519157,0.004174148,0.18796115069075708,6.0,23.0,20.0,15.0,21.0,17.0
CCL4,0.13871232863764094,0.13159368045715367,0.4932502068823531,0.011453542,0.12831919242485718,10.0,21.0,21.0,4.0,31.0,17.4
DUSP2,0.13902971764070512,0.19072710996995182,0.6918584459307293,0.002221769,0.2547678756784812,9.0,10.0,13.0,47.0,13.0,18.4
DUSP1,0.13487296214811928,0.18883645510128136,0.6939524307142194,0.0021683883,0.26172910840119207,11.0,11.0,12.0,50.0,11.0,19.0
IL7R,0.11338321020087815,0.146761541808208,0.4391560572536176,0.0029904626,0.16665181202599094,13.0,17.0,26.0,31.0,24.0,22.2
ACTB,0.07185740609929163,0.32836518190996516,1.040498267768461,0.0018047818,0.6086004814236393,25.0,3.0,3.0,80.0,3.0,22.8
RNR2,0.07179863376916873,0.31131830511648284,0.9956721908345151,0.0017847028,0.46055247357844803,26.0,4.0,4.0,84.0,5.0,24.6
CD8A,0.09736854277107852,0.08031959171873365,0.3600066974080139,0.0052962466,0.08727862314521383,16.0,34.0,33.0,13.0,42.0,27.6
GZMK,0.06770053321178499,0.09611059288993061,0.26813871960565755,0.003008231,0.11949284717705724,28.0,30.0,41.0,30.0,32.0,32.2
DUSP4,0.06083867869614191,0.06898524846777013,0.28562736880734185,0.005239102,0.0965005452764004,33.0,40.0,37.0,14.0,38.0,32.4
LOC101929531,0.05627256636088695,0.09803681630475176,0.382058263098445,0.0030378383,0.09996184382817919,42.0,28.0,30.0,29.0,37.0,33.2
RGS1,0.0332351433347061,0.133663010297192,0.4387032024829787,0.0038705084,0.16086727364863904,105.0,20.0,27.0,17.0,26.0,39.0
RPS26,0.032548893386478955,0.15903516507741428,0.6045768954883793,0.0022011097,0.24181710852699312,106.0,16.0,18.0,48.0,14.0,40.4
LGALS1,0.0804480881846018,0.049914211476331724,0.22791179597625344,0.0025846143,0.07588471530367796,19.0,56.0,51.0,35.0,45.0,41.2
CD74,0.044914855895757756,0.13147595527189676,0.49178046510930645,0.0017800853,0.16883019358704887,58.0,22.0,22.0,85.0,23.0,42.0
JUNB,0.0870224956528499,0.1771924297495227,0.8503585000984372,0.0014371574,0.3662714495572263,17.0,12.0,6.0,176.0,6.0,43.4
HOPX,0.11733488361864539,0.04026802125183147,0.19753626040136532,0.006464978,0.05884651590595242,12.0,78.0,58.0,10.0,69.0,45.4
IFITM3,0.05389728433958983,0.06514253711517165,0.3585469505627418,0.0018013901,0.146533626475756,45.0,43.0,34.0,82.0,27.0,46.2
KLF2,0.09887682485306117,0.04443021927946418,0.17875497388895886,0.0038355247,0.05308608675940113,14.0,66.0,69.0,18.0,78.0,49.0
CXCL13,0.09770416413425514,0.04774575376531312,0.14912952261459997,0.0032559414,0.05914764010849316,15.0,60.0,86.0,25.0,67.0,50.6
GZMH,0.1601617673188329,0.042594142696491054,0.14586569594698412,0.017651342,0.048108340861608,7.0,71.0,90.0,3.0,88.0,51.8
CD8B,0.05769052379244376,0.07283253463112291,0.29349259063245847,0.0016505772,0.0894668588087893,37.0,38.0,36.0,113.0,41.0,53.0
RPS18P9,0.04922025595899196,0.07627382027771061,0.3189453617829279,0.0016315847,0.1138565368420591,53.0,35.0,35.0,123.0,33.0,55.8
CCR7,0.18197405574751568,0.03940020620870942,0.11898394537300165,0.008636957,0.05585035604683023,5.0,81.0,124.0,6.0,73.0,57.8
ZNF683,0.0727000515893645,0.04159725936907148,0.163376540350209,0.005692313,0.04238716597211508,23.0,73.0,78.0,12.0,106.0,58.4
XCL1,0.05628270253026795,0.03905138603760507,0.15025105475492587,0.008248874,0.04955003393257287,41.0,82.0,85.0,7.0,83.0,59.6
GZMB,0.02784168602556518,0.05085443662596491,0.19603963294657983,0.0063249003,0.07237331541020135,144.0,53.0,60.0,11.0,50.0,63.6
TNFRSF4,0.07290837343225125,0.035462106347978244,0.11876126788877582,0.0034357135,0.05497427485080951,22.0,87.0,125.0,23.0,75.0,66.4
CCL4L1,0.025836528950481507,0.05619813471997444,0.280469530817521,0.0029235296,0.06313180385464501,165.0,49.0,38.0,32.0,58.0,68.4
COX1,0.06559649666121425,0.26522968375714606,0.7690355148253945,0.0012193129,0.47418551817171467,30.0,6.0,10.0,303.0,4.0,70.6
PHLDA1,0.03832884975568772,0.035661578939583424,0.17194693522033255,0.0021426873,0.05685771183384957,75.0,85.0,74.0,52.0,71.0,71.4
