gene,attribution
EEF1A1,1.0976720545903946
FXYD5,0.34861794863651147
ACTB,0.32836518190996516
RNR2,0.31131830511648284
JUN,0.30462434359680485
COX1,0.26522968375714606
DNAJB1,0.21423417788342322
NKG7,0.20817731467458603
FTH1,0.19879965639980496
DUSP2,0.19072710996995182
DUSP1,0.18883645510128136
JUNB,0.1771924297495227
CD69,0.17245226909648567
FOS,0.16922985590307543
RNR1,0.15987583794409652
RPS26,0.15903516507741428
IL7R,0.146761541808208
GAPDH,0.1458721020181656
HSPA1A,0.1430129964680808
RGS1,0.133663010297192
CCL4,0.13159368045715367
CD74,0.13147595527189676
CST7,0.12941518550279468
HSPA1B,0.12670957120602502
CD7,0.12451848805811658
NFKBIA,0.11700300543375212
IFITM2,0.1084617793053808
LOC101929531,0.09803681630475176
MT2A,0.096367547785635
GZMK,0.09611059288993061
CRIP1,0.09590970081284178
IER2,0.09499730656501874
KLRB1,0.0867100930185846
CD8A,0.08031959171873365
RPS18P9,0.07627382027771061
TNFAIP3,0.07624716436816388
LINC00152,0.07554687527550197
CD8B,0.07283253463112291
RGCC,0.07234111100326253
DUSP4,0.06898524846777013
RPS14P3,0.06737177178802216
HSPE1,0.06566101669208417
IFITM3,0.06514253711517165
SAT1,0.06276533453058497
CITED2,0.0627510140444842
FOSB,0.06019277178297468
JUND,0.059771969213303036
HSPB1,0.05649414332089913
CCL4L1,0.05619813471997444
SOCS1,0.053673829305756524
CHMP1B,0.05265214694321514
LINC00861,0.05244615677898649
GZMB,0.05085443662596491
GPX1,0.05035639202356058
RHOB,0.050091222262073604
LGALS1,0.049914211476331724
CORO1B,0.04932497288332227
ATF3,0.048365818885896396
DNPH1,0.04825569858968417
CXCL13,0.04774575376531312
LOC100506248,0.04678610762588504
NR4A1,0.045029595325222375
BCL3,0.044803284344659265
BATF,0.044770731839352686
CARD16,0.04453063535864713
KLF2,0.04443021927946418
ZNF331,0.044273891227863585
XCL2,0.044078925635690366
HSPH1,0.04392088067767329
SNHG9,0.04348517652557356
GZMH,0.042594142696491054
EGR1,0.04223631225112027
ZNF683,0.04159725936907148
ICOS,0.04097218992661191
BLOC1S1,0.04094046894877763
GADD45B,0.04081551615255246
SNHG15,0.04070266717484271
HOPX,0.04026802125183147
HLA-G,0.04021068710394309
IFNG,0.039727582933587774
CCR7,0.03940020620870942
XCL1,0.03905138603760507
SERTAD1,0.038069901215993907
KMT2E-AS1,0.035863883673727205
PHLDA1,0.035661578939583424
ID2,0.0354919329541503
TNFRSF4,0.035462106347978244
