gene,attribution
EEF1A1,2.2146140896640687
FXYD5,0.7710639665577743
ACTB,0.6086004814236393
COX1,0.47418551817171467
RNR2,0.46055247357844803
JUNB,0.3662714495572263
JUN,0.35722438951071017
RNR1,0.35062964701118965
NKG7,0.3018309066022339
FTH1,0.2926966916841565
DUSP1,0.26172910840119207
DNAJB1,0.26124994804009155
DUSP2,0.2547678756784812
RPS26,0.24181710852699312
FOS,0.23840772881702085
CD69,0.23296514478828553
GAPDH,0.23201386816672623
HSPA1A,0.23113700687445576
IFITM2,0.19527265224606954
HSPA1B,0.18993455772028625
CST7,0.18796115069075708
CD7,0.18179809459638746
CD74,0.16883019358704887
IL7R,0.16665181202599094
CRIP1,0.1648016629234722
RGS1,0.16086727364863904
IFITM3,0.146533626475756
IER2,0.14303501226817614
TNFAIP3,0.1418525894918945
NFKBIA,0.1299679546700283
CCL4,0.12831919242485718
GZMK,0.11949284717705724
RPS18P9,0.1138565368420591
MT2A,0.10955801229469243
KLRB1,0.10865392147530316
RPS14P3,0.10007826197532392
LOC101929531,0.09996184382817919
DUSP4,0.0965005452764004
LINC00152,0.09384869385191293
FOSB,0.09170504439882894
CD8B,0.0894668588087893
CD8A,0.08727862314521383
SAT1,0.08621620394367552
RGCC,0.08061002285317474
LGALS1,0.07588471530367796
HSPB1,0.07564243340062146
NR4A1,0.0755123683283137
CHMP1B,0.07359983387339855
JUND,0.0727565283666252
GZMB,0.07237331541020135
HSPE1,0.07079433101573412
SNHG9,0.06988988783759922
BCL3,0.06926180042918118
CITED2,0.06914803333080279
SOCS1,0.06843814092518695
GADD45B,0.06650494379279234
CORO1B,0.06369464737817244
CCL4L1,0.06313180385464501
ICOS,0.06281726883981714
KLRC2,0.06197141703858156
LINC00861,0.061704518206615704
HSPH1,0.06120056367306233
BLOC1S1,0.060693027850352015
BATF,0.06064728204851208
HLA-G,0.06045288657101568
LOC100506248,0.060403198075822145
CXCL13,0.05914764010849316
GPX1,0.05894948807883622
HOPX,0.05884651590595242
CDKN1A,0.05699639287561605
PHLDA1,0.05685771183384957
KMT2E-AS1,0.05595016739622805
CCR7,0.05585035604683023
DNPH1,0.05540020778746579
TNFRSF4,0.05497427485080951
SNHG15,0.054186479798933526
SERTAD1,0.05336996035569659
KLF2,0.05308608675940113
ATF3,0.05233815628126486
CARD16,0.0515112643661343
XCL2,0.05144789979932446
HIST1H4C,0.049841736780570654
XCL1,0.04955003393257287
RHOB,0.04918220779085978
BAX,0.04883139998535474
TNF,0.04871892719199036
RN7SK,0.04866061063717646
GZMH,0.048108340861608
SELM,0.047532647683700115
C4orf48,0.047075361115026
EGR1,0.04649655837118792
TUBA1B,0.046255597783867244
DGCR6L,0.04608275044778033
DDIT3,0.04553873775009922
RNA45S5,0.045435041822892604
MT1X,0.045350505106876715
SIRPG,0.04491165573912806
RGS2,0.04480642974136501
CAPG,0.044695822527933145
GeneID:102723863,0.04408303886239996
ISG15,0.04326958473332794
TUBB4B,0.04317215310611622
IFNG,0.04312559697892734
TIGIT,0.043046842216447716
LOC642441,0.04251800624844338
ZNF683,0.04238716597211508
CKS2,0.041856771422647425
H3F3C,0.04100769870923121
GNLY,0.04057101725674734
ZNF331,0.04011018776818237
CTLA4,0.039857501379430095
LYST,0.03979426087718867
LOC101060038,0.03977894754937737
HLA-DRB5,0.03975173985253825
SOCS3,0.03967893946141986
CHCHD10,0.039520658242725396
IGFLR1,0.039049065613375664
TTC39C,0.03876034882838532
ID2,0.03845387641424787
NME3,0.038436643825003884
BRE-AS1,0.03841702814369989
TNFRSF18,0.038338035904875646
MZT2B,0.0376579732092631
ID3,0.03734334661663373
ATP5EP2,0.037310784862649084
SLC38A2,0.036911874730561435
PHPT1,0.0368210870462448
SELL,0.03662659484006506
STUB1,0.03649515649240863
SNHG7,0.03636485811545322
