gene,attribution
EEF1A1,2.8644532718082614
FXYD5,2.0361165557552954
ACTB,1.040498267768461
RNR2,0.9956721908345151
JUN,0.9427567639787496
JUNB,0.8503585000984372
FTH1,0.8021746249911612
NKG7,0.7988624906194062
DNAJB1,0.7812889770258087
COX1,0.7690355148253945
RNR1,0.739687211529334
DUSP1,0.6939524307142194
DUSP2,0.6918584459307293
GAPDH,0.6832714339758753
FOS,0.6740314421447712
HSPA1B,0.662543082265326
HSPA1A,0.6603845988046538
RPS26,0.6045768954883793
CD69,0.5819448393384874
CST7,0.5774374052519157
CCL4,0.4932502068823531
CD74,0.49178046510930645
IFITM2,0.46464850636366894
CRIP1,0.46239269195815824
CD7,0.4396000174489943
IL7R,0.4391560572536176
RGS1,0.4387032024829787
IER2,0.409771286482761
NFKBIA,0.40640818542855056
LOC101929531,0.382058263098445
TNFAIP3,0.37392613351415266
MT2A,0.3607738691862869
CD8A,0.3600066974080139
IFITM3,0.3585469505627418
RPS18P9,0.3189453617829279
CD8B,0.29349259063245847
DUSP4,0.28562736880734185
CCL4L1,0.280469530817521
KLRB1,0.2796201251295242
SAT1,0.2789377093455536
GZMK,0.26813871960565755
RGCC,0.2677074621795433
LINC00152,0.26291284625598677
HSPB1,0.26274329335593033
HSPE1,0.2623563485893149
RPS14P3,0.2565546840397898
FOSB,0.24317889703967346
NR4A1,0.2425069484387895
CITED2,0.24177855646002058
JUND,0.2350366542864168
LGALS1,0.22791179597625344
CHMP1B,0.21425075127803403
KMT2E-AS1,0.21052354161467837
CARD16,0.2071359913566863
ICOS,0.2069367616916056
RHOB,0.20078147427988882
LINC00861,0.1996980855945438
HOPX,0.19753626040136532
GADD45B,0.19647148784542623
GZMB,0.19603963294657983
SOCS1,0.1922191704770221
SNHG9,0.19143134899824021
CORO1B,0.19051023860111038
GPX1,0.18646661007473056
BLOC1S1,0.18237580638788778
BATF,0.1810596320154825
HIST1H4C,0.18076780128963793
HLA-G,0.17924549770136478
KLF2,0.17875497388895886
EGR1,0.17815544535640626
SERTAD1,0.17811283170456377
BCL3,0.17327525852026718
IFNG,0.17230300984315527
PHLDA1,0.17194693522033255
HSPH1,0.16865774697035424
XCL2,0.1685015303758552
KLRD1,0.1683390889739186
ZNF683,0.163376540350209
ATF3,0.1621542079798546
RGS2,0.16019138513306944
CDKN1A,0.15728009460243006
BAX,0.1562132340844407
RN7SK,0.15476749740126675
LOC100506248,0.15188711559060827
XCL1,0.15025105475492587
CXCL13,0.14912952261459997
ID2,0.14760361867077804
TIGIT,0.14692407993143783
DNPH1,0.1460667277260387
GZMH,0.14586569594698412
GNLY,0.14477260852804497
HLA-DRB5,0.1443755640424005
ISG15,0.14391162052430043
TNF,0.14363599652713707
LOC642441,0.14360828930561145
H3F3C,0.14198017300679142
MT1X,0.14116644296190298
C4orf48,0.14076859895889332
DNAJB4,0.1407008402538672
DGCR6L,0.14032853622961514
POLR2J,0.14016778703646654
SNHG15,0.13994999084415902
MZT2B,0.13962108452907906
TUBA1B,0.13842943704813326
CAPG,0.1376809774111123
TTC39C,0.13760059480369738
TUBB4B,0.13683468146640748
DDIT3,0.13597436258955606
SOCS3,0.1350700197390707
RNA45S5,0.1349393077100929
GeneID:102723863,0.1338724678251912
