gene,mean_abs_grad
KLHL31,1.8397327697651746
LOC100510707,1.7929971335611312
OPLAH,1.763706077919529
RNASEK-C17orf49,1.7555175160720236
SNORD55,1.6909732999512537
CBX2,1.6908925402726844
TGFB3,1.663664140701885
ESAM,1.6411193843872531
GOLGA6L5P,1.5101101173957558
NTNG2,1.500507844964301
NRADDP,1.4750096129141386
SNORD15A,1.4439223317099064
MUSTN1,1.4309026410594314
EIF3IP1,1.3943925067338074
ALOX15,1.3892882540253917
LOC390937,1.3877462214807548
SERF1B,1.3408011763458412
LRRC70,1.3311622453618275
MS4A6A,1.2913700704661493
CCL2,1.278552621438583
AQP1,1.271633020256392
LOC388780,1.2556077426132137
IL22,1.232218227725827
LOC389705,1.2008897628722695
IL17F,1.1934924691751083
LOC101929107,1.1930990419535028
GOLGA8O,1.1880328534489104
LOC102724426,1.179693493409429
LOC102725432,1.172629999320747
LOC101929333,1.1684335476037744
ZNF704,1.1640876456443896
MINOS1P1,1.1570678468779543
FLJ43681,1.1181916949930937
CXCL3,1.1122207211203632
CTRL,1.1102654658870876
TMEM200B,1.104173032772326
CCDC11,1.1018530904940047
PTPRVP,1.0953455787768893
ANXA2P1,1.0928621883911414
PTH2R,1.0928561495770954
CLEC3B,1.0918495803009103
LOC100506730,1.088279822024799
LOC401010,1.0854173125473419
LYNX1,1.0837861611449808
LOC100288911,1.079663363284035
LOC494127,1.0761687118116903
RTKN2,1.068057149572918
BAI1,1.067809347254752
OR7E37P,1.0623629962981918
FAM218A,1.0618720125275576
LOC101928982,1.0617680643327725
TMEM236,1.0595403700470223
FAM86B3P,1.0573281057635773
CCL17,1.0570502824802834
SMC1B,1.047511307868487
FLJ45513,1.040149638822921
FAM127C,1.0379252940735957
C14orf37,1.035355839236539
CYR61,1.0349269377661316
IL3,1.0309662116851628
LOC643387,1.0281103312817712
LOC101929021,1.0271156220698887
MCTP1,1.0176974559006144
LOC101928093,1.0170965589036516
LINC01252,1.0116187879522058
SCARNA7,1.0088937797354836
PTTG2,1.0051621700809727
GLYCTK-AS1,1.0044679145701843
GRIN3B,1.0038212885025097
RAB26,0.997731024404134
HNRNPA3P1,0.9968108970051357
VTRNA2-1,0.9954939360923358
LOC729739,0.9894032340285931
MIR564,0.9856393237188149
ELAVL4,0.975506139831751
OXT,0.9745612763758447
SNORA10,0.9734246834117682
RPL10L,0.9720657326876434
FMO5,0.9713415753988462
PLA2G1B,0.966503271720479
