gene,mean_abs_grad
GOLGA6L5P,2.406389165150758
OPLAH,2.3651078588187633
ALOX15,2.2837224781428227
RNASEK-C17orf49,2.2737665132051155
LOC100510707,2.0868504544154596
TGFB3,2.0487786415350295
ESAM,1.9303695984246172
MUSTN1,1.9055475073349646
MCTP1,1.8793037333673808
CCL2,1.86900443006793
SNORD55,1.8638677811653659
LOC101929107,1.8333197005971131
CBX2,1.8141375610207782
LOC390937,1.8022024561294538
NRADDP,1.7829140073182557
IL22,1.7777040999582034
KLHL31,1.76392595545238
FAM218A,1.7472219487855294
LOC101929333,1.735055444939819
LINC01252,1.6341315457414587
SNORD15A,1.6340982982107433
LRRC70,1.6211008823085693
NTNG2,1.614667899432285
SERF1B,1.5904921790093367
LOC100506730,1.580288724856134
CTRL,1.5783734313612958
LOC102725432,1.5754853553008135
UBE2MP1,1.5636512340611632
LOC102724537,1.5521610660374434
LOC102724426,1.5484719901037307
AQP1,1.5460449506312575
CYP2D7P,1.5075606103203847
RAVER2,1.4997650481343425
CBWD6,1.4927068909800036
CLEC3B,1.491948633877995
LOC494127,1.4441012864399294
PARD6G-AS1,1.4341440217950636
RTKN2,1.423752109157966
IL10RB-AS1,1.4009702243938544
LOC643387,1.396611929811848
ZNF321P,1.3953023339062791
TPSB2,1.3899240983884147
AMN,1.379532419395908
FAM127C,1.3733481308493254
CYP21A2,1.3721604425563791
GTSCR1,1.3709738893788552
CDO1,1.3703139975956136
C14orf37,1.3639149735890423
MINOS1P1,1.3584631050256009
LOC100288911,1.3583066955797214
LOC388780,1.3576920476053485
TFAMP1,1.3546931388750456
S100B,1.3350166413974838
OXT,1.3348219369409784
FLJ43681,1.3286315149873982
ANXA2P1,1.3241609555982803
MS4A6A,1.321151221650568
SLC25A29,1.316569543920915
EIF3IP1,1.3125824434331121
LOC101929021,1.31192011682729
LOC101928402,1.311384005597118
FANK1,1.3113431300907656
SLX1A,1.3091354592410624
NPIPB9,1.308166904980366
PPT2,1.3032628355522267
PELI3,1.3005566125498118
MIR564,1.3003303575601473
IL17F,1.299529007692995
LOC389705,1.293913105491755
LOC101929290,1.2932013994732097
LOC283140,1.2895971072022376
TMEM200B,1.2869846579767072
PTH2R,1.2856323552452382
ACRBP,1.2835213905539267
VTRNA2-1,1.2831650702554718
PADI4,1.282544381575194
SNORA10,1.2824442133147647
ASCL1,1.2792496844681824
PRR19,1.2753204105437028
LINC01135,1.266971150405881
CDKL4,1.2576730624215409
PTPRVP,1.2549395455688
SELL,1.2485177057422432
BAI1,1.2443921514426803
LOC102725018,1.2388678341374189
NRN1L,1.2381936758451797
CH25H,1.230819345533009
MUC20,1.223396197690249
LOC102725351,1.22219674770967
LOC729739,1.218913394189444
LOC102724571,1.2147067737301478
GeneID:145663,1.213782394377964
CCL17,1.2117521780140674
ITGAD,1.2101443135045922
LOC100131289,1.1988139678404548
DISC1FP1,1.1972547789721413
STMN4,1.1971123560401218
NUDT4P2,1.1925865808531515
TPSAB1,1.1914579355888895
ANP32AP1,1.191141524056819
LOC100288152,1.1880934288834144
SAMSN1-AS1,1.187778540297869
ZNF704,1.1843274621228632
MAGIX,1.1831879916411916
CXCL3,1.183063635962975
ANKDD1B,1.1763134810272873
LOC101927684,1.1751930246748665
SMC1B,1.1734960091460638
PON3,1.1711323015467112
IL5,1.1693641048216434
LOC102724031,1.1668868279783733
ZMYND19,1.1645881227636712
PFN1P2,1.1599573702105999
FAM114A1,1.1557421758461484
LOC102724448,1.1494107706652756
MAGOH2,1.148616560674129
SNORA27,1.1440850266682503
SNORD89,1.143835335328836
LOC101930551,1.1417685096007155
LOC102467081,1.1395385772457245
HPN,1.1334507101327487
SCARNA7,1.131220670887722
MOK,1.1310144525771175
EIF3CL,1.1302036642252302
EMILIN1,1.1271859182544963
DBH,1.1267561313940597
YJEFN3,1.1250116046633327
ELAVL4,1.1223963157573877
LOC101927768,1.1221211808057854
WFDC2,1.1201723200560547
LOC100506314,1.1186726963695195
PRSS3,1.1157717821536124
LOC102724342,1.1111526607499003
GeneID:102723372,1.1072974077021003
WTH3DI,1.1059725880068607
FMO5,1.1054414097991276
RASIP1,1.1021790303741146
MIR192,1.1011981468680743
C7orf61,1.0998553185666622
SNORD32A,1.0998274855365107
SMG1P1,1.0982093614754782
LOC143666,1.0978125383669013
TNKS2-AS1,1.0960514975986406
LOC101928152,1.0959025874819834
LOC100507501,1.0942144513935705
PASK,1.0937919708927346
DIRAS3,1.091900304825409
MC1R,1.0895748808855281
BRD7P3,1.0890271867484023
NPFF,1.0885065310606326
LOC102723729,1.088320947256544
LOC102724302,1.0848827062910336
MIA,1.0787273054860158
PMCH,1.0780489813201775
SLMO2-ATP5E,1.077935343023405
NUPR1,1.077504612125309
ICA1,1.0774557085151335
PTTG2,1.077301895645782
LOC100505942,1.0756488119216057
NAT14,1.0755635079976298
PVALB,1.075280461291535
XCL2,1.075273402765468
FAM86FP,1.0745613145913973
MT1JP,1.0738062868927647
LOC102725263,1.0726865579601437
USP27X,1.0723133376849119
CRYAB,1.0693474191924952
PMS2P3,1.067516604771093
HAR1A,1.0659657079209384
LOC101060376,1.064619917914204
