gene,importance
NKG7,0.08918505
EEF1A1,0.017778054
GZMH,0.017651342
CCL4,0.011453542
SELL,0.011081209
CCR7,0.008636957
XCL1,0.008248874
CXCR6,0.007849557
PASK,0.0065062908
HOPX,0.006464978
GZMB,0.0063249003
ZNF683,0.005692313
CD8A,0.0052962466
DUSP4,0.005239102
CST7,0.004174148
XCL2,0.004014752
RGS1,0.0038705084
KLF2,0.0038355247
ANKRD28,0.003713141
RTKN2,0.003544169
FOXP3,0.003531544
PTMS,0.0034679894
TNFRSF4,0.0034357135
IFNG,0.0032687616
CXCL13,0.0032559414
LOC101928152,0.0031958737
CH25H,0.0031142023
HLA-DRB5,0.0030611844
LOC101929531,0.0030378383
GZMK,0.003008231
IL7R,0.0029904626
CCL4L1,0.0029235296
METTL12,0.0026869974
LAG3,0.0026818274
LGALS1,0.0025846143
ID3,0.0025760368
REREP3,0.0025634093
LOC101060038,0.002519392
GNLY,0.0025010111
HHIPL1,0.0024525858
LOC101059954,0.0024349126
KLRC4,0.0023383086
TNFRSF18,0.0022976827
CD9,0.0022973868
NBL1,0.0022780981
FGFBP2,0.002235771
DUSP2,0.002221769
RPS26,0.0022011097
MYC,0.002197673
DUSP1,0.0021683883
HSPA7,0.00215465
PHLDA1,0.0021426873
KLRB1,0.0021306993
KLRD1,0.002106539
KLRC2,0.0021028249
FXYD1,0.0020840196
FXYD5,0.0020808233
CDYL,0.0020313056
RPS4Y1,0.0020303356
SNORA78,0.0020154861
CSF1,0.001996902
CD7,0.001981174
AREG,0.0019788493
CD40LG,0.0019343718
ICA1,0.0019237633
TAF10,0.0019136737
PRR5,0.001912773
CPA5,0.0019095566
SMIM3,0.001896965
HIST2H2AA4,0.0018917496
DDTL,0.001859839
RPS10P7,0.0018467653
MAF,0.0018433039
SPSB1,0.0018399813
RNU4-2,0.0018349696
PDXP,0.0018219493
KIR2DL4,0.0018159356
MIR4435-1HG,0.00181528
LAIR2,0.0018065713
ACTB,0.0018047818
CCL20,0.0018016989
IFITM3,0.0018013901
PAM16,0.0017961323
RNR2,0.0017847028
CD74,0.0017800853
KLRC1,0.0017796352
