ident,n,accuracy
4.6a-Treg,1486,0.6716016150740243
8.2-Tem,2390,0.6464435146443515
8.3b-Trm,1005,0.6238805970149254
4.4-FOS,1881,0.5901116427432217
8.5-Mitosis,164,0.5304878048780488
8.3a-Trm,1589,0.5166771554436753
4.6b-Treg,388,0.5051546391752577
4.3-TCF7,1812,0.4977924944812362
4.2-RPL32,716,0.4301675977653631
8.3c-Trm,1258,0.4300476947535771
3.1-MT,696,0.40948275862068967
4.5-IL6ST,705,0.3829787234042553
4.1-Trm,929,0.31969860064585576
8.6-KLRB1,154,0.3116883116883117
8.1-Teff,846,0.3049645390070922
8.4-Chrom,109,0.22935779816513763
