ident,n,pos_rate,auroc,auprc
4.3-TCF7,1812,0.09216335540838852,0.6962816009318749,0.18633187069112747
4.2-RPL32,716,0.21927374301675978,0.804348073789638,0.5775842318499285
4.4-FOS,1881,0.23232323232323232,0.7192866243653214,0.47409502447594837
4.6a-Treg,1486,0.29676985195154776,0.625674576050516,0.4141275919181217
4.5-IL6ST,705,0.3219858156028369,0.7168082870993309,0.5345529234208815
4.1-Trm,929,0.3379978471474704,0.6440422557091812,0.4563889838928084
8.4-Chrom,109,0.42201834862385323,0.6383712905452036,0.5866333569156923
4.6b-Treg,388,0.43041237113402064,0.6414230362803803,0.5598907878233038
8.6-KLRB1,154,0.474025974025974,0.684931506849315,0.5957584890717925
3.1-MT,696,0.6221264367816092,0.7948699935896872,0.8248110275281344
8.5-Mitosis,164,0.6829268292682927,0.7414148351648352,0.8304502141578982
8.2-Tem,2390,0.7426778242677824,0.6415454024962786,0.8097226422090311
8.1-Teff,846,0.7458628841607565,0.5889654664062213,0.7952996307567248
8.3b-Trm,1005,0.7472636815920398,0.5571573859525881,0.7716872228381212
8.3a-Trm,1589,0.7476400251730648,0.5732764049472279,0.7881459477392654
8.3c-Trm,1258,0.7909379968203497,0.63655922196534,0.8555029798685422
