gene,coef,direction
LOC101928093,1.5729318938379497,up (expanded)
LOC101927684,1.434911356230508,up (expanded)
LOC102724841,1.2100719585884838,up (expanded)
FLJ40194,1.1259132051910654,up (expanded)
C14orf37,1.1216016956468446,up (expanded)
SLC25A52,1.070324719521313,up (expanded)
ANXA3,1.0223108413647346,up (expanded)
FMOD,0.9961624984853205,up (expanded)
LOC101928426,0.9366775558491331,up (expanded)
VWA1,0.879163273953779,up (expanded)
IGBP1P1,0.8631682154479978,up (expanded)
RNU6-39P,0.8569103981377718,up (expanded)
AQP4-AS1,0.8412531824210571,up (expanded)
TDH,0.8132497409540298,up (expanded)
KRT5,0.8006441564278843,up (expanded)
OPLAH,0.7865123314164676,up (expanded)
MUC4,0.783716315235408,up (expanded)
SRMS,0.7798082220480238,up (expanded)
RAB26,0.7788888555054617,up (expanded)
DIRAS2,0.7785636261353496,up (expanded)
KLHL31,0.7748757310319611,up (expanded)
CYR61,0.7678927733070667,up (expanded)
TUBA3C,0.7468454171260941,up (expanded)
SNORD55,0.7444988777391862,up (expanded)
FOXD4,0.7424874985889623,up (expanded)
TBC1D3P2,-1.3990064205641801,down (singleton)
C2CD4C,-1.2366894612128745,down (singleton)
LOC102724302,-1.214728453049876,down (singleton)
OR7E37P,-1.1190845172020423,down (singleton)
ANKRD18B,-1.1010182706995069,down (singleton)
IL3,-1.0885014044126233,down (singleton)
LYNX1,-1.0803458779736672,down (singleton)
MT1JP,-1.0769404704797283,down (singleton)
LOC102724537,-1.033491515265503,down (singleton)
FGFR4,-1.0269091251532019,down (singleton)
CALML6,-1.0032608832695775,down (singleton)
C11orf85,-0.9815181002017173,down (singleton)
HTR1F,-0.9792139725648411,down (singleton)
LOC102723467,-0.9604428529900914,down (singleton)
AQP1,-0.9528394476424146,down (singleton)
CRYAB,-0.9428445986837132,down (singleton)
TMEM31,-0.914833327998965,down (singleton)
LINC01205,-0.8948040516335366,down (singleton)
LOC101928745,-0.8736295009961768,down (singleton)
CLEC18B,-0.8734675417434151,down (singleton)
IL22RA2,-0.8514923328232725,down (singleton)
LOC101929229,-0.8441133575552456,down (singleton)
GRM4,-0.8437795742175829,down (singleton)
LOC101927848,-0.8425856688323725,down (singleton)
FLJ33544,-0.8332835343644708,down (singleton)
