gene,effect,coef,direction
NKG7,0.36700211954756723,0.22782369236264596,up (expanded)
SELL,-0.21391688586493926,-0.2615222745117572,down (singleton)
FGFBP2,0.21103104930573113,0.3387187379399322,up (expanded)
EEF1A1,-0.20898206297340965,-0.296670458018965,down (singleton)
CCR7,-0.18197405574751568,-0.2850598467774667,down (singleton)
CST7,0.1780787505895265,0.1409212575983884,up (expanded)
GZMH,0.1601617673188329,0.13630999466389665,up (expanded)
PASK,-0.1544648548395666,-0.2768953872198171,down (singleton)
DUSP2,0.13902971764070512,0.09185289100456838,up (expanded)
CCL4,0.13871232863764094,0.08060297653192103,up (expanded)
DUSP1,0.13487296214811928,0.07936254497279474,up (expanded)
HOPX,0.11733488361864539,0.13007243732803114,up (expanded)
IL7R,-0.11338321020087815,-0.07970581881502513,down (singleton)
KLF2,-0.09887682485306117,-0.11867950903228838,down (singleton)
CXCL13,0.09770416413425514,0.09406207932135974,up (expanded)
CD8A,0.09736854277107852,0.0793955551012885,up (expanded)
JUNB,-0.0870224956528499,-0.061172057385063774,down (singleton)
FXYD5,-0.08133271208885393,-0.07290513164570418,down (singleton)
LGALS1,0.0804480881846018,0.07090935013232112,up (expanded)
LOC101928152,-0.07781313068812627,-0.2917112992192707,down (singleton)
MYC,-0.07529453187026312,-0.15182686617181046,down (singleton)
TNFRSF4,-0.07290837343225125,-0.10509257844220989,down (singleton)
ZNF683,0.0727000515893645,0.08720613839206051,up (expanded)
CH25H,-0.07215258460508688,-0.15895593917092743,down (singleton)
ACTB,0.07185740609929163,0.09429936570904109,up (expanded)
RNR2,0.07179863376916873,0.05516414163283637,up (expanded)
ID3,-0.07091059019692732,-0.1437864624331072,down (singleton)
GZMK,-0.06770053321178499,-0.0600130521388776,down (singleton)
FXYD1,-0.06627105709621589,-0.16021594139819956,down (singleton)
COX1,0.06559649666121425,0.07071165194030977,up (expanded)
LYST,-0.06376215423302856,-0.10668708828092494,down (singleton)
RTKN2,-0.0619339196772389,-0.1452944353374714,down (singleton)
DUSP4,0.06083867869614191,0.07879234802516306,up (expanded)
JUN,0.059145327884430034,0.038854772999417496,up (expanded)
IFITM2,0.058504333717961446,0.050307581017663486,up (expanded)
CCL3,-0.05813647351938543,-0.0739691118231971,down (singleton)
CD8B,0.05769052379244376,0.05100058124402955,up (expanded)
HIST1H1E,-0.05744252241329304,-0.08792177460899557,down (singleton)
CMC1,0.05726934886639733,0.07945971148420082,up (expanded)
CST3,0.057254447097307225,0.16751336711469011,up (expanded)
